Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
cp_vacuum_bagger0,Vacuum Bagger,,,,,,,Confezionatrice sottovuoto,,,,,,
cp_vacuum_bagger1,A vacuum sealer for packaging things.,,,,,,,Sigillatrice sottovuoto per confezionare cannabis.,,,,,,
cp_base_bag0,Base Bag,,,,,,,Borsa base,,,,,,
cp_base_bag1,Not spawnable. For debug purposes.,,,,,,,Non generabile. Per scopi di debug.,,,,,,
cp_empty_1oz_bag0,Empty 1oz Bag,,,,,,,Borsa vuota da 30 g,,,,,,
cp_empty_1oz_bag1,Empty bag that holds 1oz of an item.,,,,,,,Borsa vuota che contiene 30 g di cannabis.,,,,,,
cp_skunk_weed_bag0,Bag of Skunk Weed,,,,,,,Borsa di cannabis Skunk,,,,,,
cp_skunk_weed_bag1,About an ounce of Skunk weed.,,,,,,,Circa 30 g di cannabis Skunk.,,,,,,
cp_blue_god_weed_bag0,Bag of Blue God Weed,,,,,,,Borsa di cannabis Blue God,,,,,,
cp_blue_god_weed_bag1,About an ounce of Blue God weed.,,,,,,,Circa 30 g di cannabis Blue God.,,,,,,
cp_purple_kush_weed_bag0,Bag of Purple Kush Weed,,,,,,,Borsa di cannabis Purple Kush,,,,,,
cp_purple_kush_weed_bag1,About an ounce of Purple Kush weed.,,,,,,,Circa 30 g di cannabis Purple Kush.,,,,,,
cp_stardawg_weed_bag0,Bag of Stardawg Weed,,,,,,,Borsa di cannabis Stardawg,,,,,,
cp_stardawg_weed_bag1,About an ounce of Stardawg weed.,,,,,,,Circa 30 g di cannabis Stardawg.,,,,,,
cp_future_weed_bag0,Bag of Future Weed,,,,,,,Borsa di cannabis Future,,,,,,
cp_future_weed_bag1,About an ounce of Future weed.,,,,,,,Circa 30 g di cannabis Future.,,,,,,
cp_s1_hemp_bag0,Bag of S1 Hemp,,,,,,,Borsa di canapa S1,,,,,,
cp_s1_hemp_bag1,About an ounce of S1 hemp. Sponsored by StevesGoods.com,,,,,,,Circa 30 g di canapa S1. Offerto da StevesGoods.com.,,,,,,
cp_nomad_weed_bag0,Bag of Nomad Weed,,,,,,,Borsa di cannabis Nomad,,,,,,
cp_nomad_weed_bag1,About an ounce of Nomad weed.,,,,,,,Circa 30 g di cannabis Nomad.,,,,,,
cp_black_frost_weed_bag0,Bag of Black Frost Weed,,,,,,,Borsa di cannabis Black Frost,,,,,,
cp_black_frost_weed_bag1,About an ounce of Black Frost weed.,,,,,,,Circa 30 g di cannabis Black Frost.,,,,,,
cp_medium_box0,Medium Box,,,,,,,Scatola media,,,,,,
cp_medium_box1,A medium box.,,,,,,,Una scatola di medie dimensioni.,,,,,,
cp_small_box0,Small Box,,,,,,,Scatola piccola,,,,,,
cp_small_box1,A small box.,,,,,,,Una scatola di piccole dimensioni.,,,,,,
cp_brick_base0,Brick Base,,,,,,,Base di mattone,,,,,,
cp_brick_base1,Base,,,,,,,Base,,,,,,
cp_skunk_weed_brick0,Brick of Skunk Weed,,,,,,,Mattone di cannabis Skunk,,,,,,
cp_skunk_weed_brick1,One pound of Skunk weed.,,,,,,,Circa mezzo chilo di cannabis Skunk.,,,,,,
cp_blue_god_weed_brick0,Brick of Blue God Weed,,,,,,,Mattone di cannabis Blue God,,,,,,
cp_blue_god_weed_brick1,One pound of Blue God weed.,,,,,,,Circa mezzo chilo di cannabis Blue God.,,,,,,
cp_purple_kush_weed_brick0,Brick of Purple Kush Weed,,,,,,,Mattone di cannabis Purple Kush,,,,,,
cp_purple_kush_weed_brick1,One pound of Purple Kush weed.,,,,,,,Circa mezzo chilo di cannabis Purple Kush.,,,,,,
cp_stardawg_weed_brick0,Brick of Stardawg Weed,,,,,,,Mattone di cannabis Stardawg,,,,,,
cp_stardawg_weed_brick1,One pound of Stardawg weed.,,,,,,,Circa mezzo chilo di cannabis Stardawg.,,,,,,
cp_future_weed_brick0,Brick of Future Weed,,,,,,,Mattone di cannabis Future,,,,,,
cp_future_weed_brick1,One pound of Future weed.,,,,,,,Circa mezzo chilo di cannabis Future.,,,,,,
cp_s1_hemp_brick0,Brick of S1 Hemp,,,,,,,Mattone di canapa S1,,,,,,
cp_s1_hemp_brick1,One pound of S1 hemp.  Sponsored by StevesGoods.com,,,,,,,Circa mezzo chilo di canapa S1. Offerto da StevesGoods.com.,,,,,,
cp_nomad_weed_brick0,Brick of Nomad Weed,,,,,,,Mattone di cannabis Nomad,,,,,,
cp_nomad_weed_brick1,One pound of Nomad weed.,,,,,,,Circa mezzo chilo di cannabis Nomad.,,,,,,
cp_black_frost_weed_brick0,Brick of Black Frost Weed,,,,,,,Mattone di cannabis Black Frost,,,,,,
cp_black_frost_weed_brick1,One pound of Black Frost weed.,,,,,,,Circa mezzo chilo di cannabis Black Frost.,,,,,,
cp_cbd_relief_balm0,CBD Relief Balm,,,,,,,Balsamo al CBD per il sollievo dal dolore,,,,,,
cp_cbd_relief_balm1,"What if I told you that pain relief is just a swipe away? This revolutionary full spectrum salve holds the key to relieving pain with ease. Rub it on your knees after an epic day of hiking, apply it to your wrists after a long day of typing, or massage it into the back of your neck when dealing with headaches!  Sponsored by StevesGoods.com",,,,,,,"E se ti dicessi che il sollievo dal dolore �� a portata di mano? Questo rivoluzionario unguento a spettro completo �� la chiave per alleviare il dolore. Applicalo sulle ginocchia dopo una giornata di escursioni, sui polsi dopo ore di digitazione, o massaggialo sulla nuca per alleviare il mal di testa! Offerto da StevesGo",,,,,,
cp_unknown_substance0,Unknown Substance,,,,,,,Sostanza sconosciuta,,,,,,
cp_unknown_substance1,"A sticky, dark yellow substance. Smells like skunk.",,,,,,,"Una sostanza appiccicosa, di colore giallo scuro. Ha un odore simile a uno skunk.",,,,,,
cp_empty_cigarettespack0,Empty Cigarettespack,,,,,,,Pacchetto di sigarette vuoto,,,,,,
cp_empty_cigarettespack1,Looking shaby but still usable,,,,,,,"Sembra malandato, ma �� ancora utilizzab",,,,,,
cp_empty_jointspack0,Empty Jointspack,,,,,,,Pacchetto di joint vuoto,,,,,,
cp_empty_jointspack1,Looking shaby but still usable,,,,,,,"Sembra malandato, ma �� ancora utilizzab",,,,,,
cp_chernamorka_cigarettes0,Chernamorka Cigarettes,,,,,,,Sigarette Chernamorka,,,,,,
cp_chernamorka_cigarettes1,A pack of finest Chernamorka Cigarettes,,,,,,,Un pacchetto delle migliori sigarette Chernamorka.,,,,,,
cp_merkur_cigarettes0,Merkur Cigarettes,,,,,,,Sigarette Merkur,,,,,,
cp_merkur_cigarettes1,A pack of finest Merkur Cigarettes,,,,,,,Un pacchetto delle migliori sigarette Merkur.,,,,,,
cp_partyzanka_cigarettes0,Partyzanka Cigarettes,,,,,,,Sigarette Partyzanka,,,,,,
